"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Afternoon workout 💪","10 Mar 2025, 05:24","10 Mar 2025, 06:47","","Skullcrusher (Barbell)",,"",2,"normal",50,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Dumbbell Row",,"",0,"normal",50,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Dumbbell Row",,"",1,"normal",50,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Dumbbell Row",,"",2,"normal",50,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Incline Bench Press (Barbell)",,"",0,"normal",95,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Incline Bench Press (Barbell)",,"",1,"normal",95,8,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Incline Bench Press (Barbell)",,"",2,"normal",95,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",100,12,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",115,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",100,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Chest Press (Machine)",,"",0,"normal",95,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Chest Press (Machine)",,"",1,"normal",130,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Chest Press (Machine)",,"",2,"normal",145,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Chest Fly (Dumbbell)",,"",0,"normal",30,12,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Chest Fly (Dumbbell)",,"",1,"normal",30,12,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Chest Fly (Dumbbell)",,"",2,"normal",40,12,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Bicep Curl (Dumbbell)",,"",0,"normal",40,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Bicep Curl (Dumbbell)",,"",1,"normal",40,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Bicep Curl (Dumbbell)",,"",2,"normal",40,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Lateral Raise (Dumbbell)",,"",0,"normal",30,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Lateral Raise (Dumbbell)",,"",1,"normal",30,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Lateral Raise (Dumbbell)",,"",2,"normal",30,10,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Decline Crunch (Weighted)",,"",0,"normal",,15,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Decline Crunch (Weighted)",,"",1,"normal",25,15,,,
"Late night workout 🌙","8 Mar 2025, 07:37","8 Mar 2025, 08:29","","Decline Crunch (Weighted)",,"",2,"normal",22.5,15,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",0,"warmup",45,10,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",1,"warmup",135,8,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",2,"warmup",185,5,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",3,"warmup",205,5,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",4,"normal",225,5,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",5,"normal",225,5,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",6,"normal",235,5,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Squat (Barbell)",,"",7,"normal",245,5,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Romanian Deadlift (Barbell)",,"",0,"normal",135,8,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Romanian Deadlift (Barbell)",,"",1,"normal",155,8,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Romanian Deadlift (Barbell)",,"",2,"normal",155,8,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Lying Leg Curl (Machine)",,"",0,"normal",60,10,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Lying Leg Curl (Machine)",,"",1,"normal",80,10,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Lying Leg Curl (Machine)",,"",2,"normal",80,10,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Cable Crunch",,"",0,"normal",75,12,,,
"Late night workout 🌙","7 Mar 2025, 06:24","7 Mar 2025, 07:15","","Cable Crunch",,"",1,"normal",75,12,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",0,"normal",45,10,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",1,"normal",95,10,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",2,"normal",135,5,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",3,"normal",155,5,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",4,"normal",165,4,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",5,"normal",165,5,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",6,"normal",165,4,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bench Press (Barbell)",,"",7,"normal",165,5,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bent Over Row (Barbell)",,"",0,"normal",135,8,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bent Over Row (Barbell)",,"",1,"normal",135,8,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Bent Over Row (Barbell)",,"",2,"normal",135,8,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Incline Bench Press (Barbell)",,"",0,"normal",95,10,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Incline Bench Press (Barbell)",,"",1,"normal",95,10,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Incline Bench Press (Barbell)",,"",2,"normal",95,8,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Lat Pulldown (Cable)",,"",0,"normal",90,10,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Lat Pulldown (Cable)",,"",1,"normal",90,10,,,
"Afternoon workout 💪","5 Mar 2025, 01:04","5 Mar 2025, 01:57","","Lat Pulldown (Cable)",,"",2,"normal",90,10,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",0,"warmup",45,10,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",1,"warmup",135,8,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",2,"warmup",185,6,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",3,"warmup",205,5,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",4,"normal",225,5,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",5,"normal",245,5,,,
"Morning workout ☀️","23 Feb 2025, 18:07","23 Feb 2025, 18:38","","Deadlift (Barbell)",,"",6,"normal",245,5,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",0,"normal",45,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",1,"normal",95,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",2,"normal",135,6,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",3,"normal",155,5,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",4,"normal",165,5,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",5,"normal",175,5,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Bench Press (Barbell)",,"",6,"normal",135,8,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Incline Bench Press (Dumbbell)",,"",0,"normal",100,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Incline Bench Press (Dumbbell)",,"",1,"normal",100,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Incline Bench Press (Dumbbell)",,"",2,"normal",100,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Triceps Dip (Weighted)",,"",0,"normal",,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Triceps Dip (Weighted)",,"",1,"normal",,15,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Triceps Dip (Weighted)",,"",2,"normal",,15,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Chest Fly (Machine)",,"",0,"normal",100,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Chest Fly (Machine)",,"",1,"normal",85,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Chest Press (Machine)",,"",0,"normal",105,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Chest Press (Machine)",,"",1,"normal",135,10,,,
"Late night workout 🌙","22 Feb 2025, 06:38","22 Feb 2025, 07:21","","Chest Press (Machine)",,"",2,"normal",,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Pull Up",,"",0,"normal",,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Pull Up",,"",1,"normal",,8,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Pull Up",,"",2,"normal",,8,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Lat Pulldown (Cable)",,"",0,"normal",80,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Lat Pulldown (Cable)",,"",1,"normal",90,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Lat Pulldown (Cable)",,"",2,"normal",90,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Lateral Raise (Dumbbell)",,"",0,"normal",35,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Lateral Raise (Dumbbell)",,"",1,"normal",35,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Lateral Raise (Dumbbell)",,"",2,"normal",35,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Chest Supported Incline Row (Dumbbell)",,"",0,"normal",50,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Chest Supported Incline Row (Dumbbell)",,"",1,"normal",50,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Chest Supported Incline Row (Dumbbell)",,"",2,"normal",50,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Iso-Lateral Row (Machine)",,"",0,"normal",90,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Iso-Lateral Row (Machine)",,"",1,"normal",90,10,,,
"Late night workout 🌙","21 Feb 2025, 06:03","21 Feb 2025, 06:33","","Iso-Lateral Row (Machine)",,"",2,"normal",90,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",0,"warmup",45,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",1,"warmup",135,8,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",2,"warmup",185,6,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",3,"warmup",205,6,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",4,"normal",225,5,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",5,"normal",235,5,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Squat (Barbell)",,"",6,"normal",245,5,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Incline Bench Press (Dumbbell)",,"",0,"normal",90,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Incline Bench Press (Dumbbell)",,"",1,"normal",90,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Incline Bench Press (Dumbbell)",,"",2,"normal",90,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Bulgarian Split Squat",,"",0,"normal",90,8,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Triceps Pushdown",,"",0,"normal",60,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Triceps Pushdown",,"",1,"normal",70,10,,,
"Day 1","19 Feb 2025, 05:46","19 Feb 2025, 06:36","","Triceps Pushdown",,"",2,"normal",70,10,,,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",0,"normal",45,10,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",1,"normal",95,10,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",2,"normal",135,6,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",3,"normal",155,5,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",4,"normal",165,5,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",5,"normal",170,5,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Bench Press (Barbell)",,"",6,"normal",175,5,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Overhead Press (Barbell)",,"",0,"normal",45,10,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Overhead Press (Barbell)",,"",1,"normal",65,10,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Overhead Press (Barbell)",,"",2,"normal",75,8,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Overhead Press (Barbell)",,"",3,"normal",75,8,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Overhead Press (Barbell)",,"",4,"normal",75,7,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Chest Fly (Machine)",,"",0,"normal",85,10,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Chest Fly (Machine)",,"",1,"normal",85,10,,0,
"Evening workout 🏋️","18 Feb 2025, 03:36","18 Feb 2025, 04:05","","Chest Fly (Machine)",,"",2,"normal",85,10,,0,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Pull Up (Weighted)",,"",0,"normal",10,6,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Pull Up (Weighted)",,"",1,"normal",10,6,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Pull Up (Weighted)",,"",2,"normal",,10,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Deadlift (Barbell)",,"",0,"warmup",45,10,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Deadlift (Barbell)",,"",1,"warmup",95,10,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Deadlift (Barbell)",,"",2,"warmup",135,5,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Deadlift (Barbell)",,"",3,"warmup",185,5,,,
"Day 3","9 Feb 2025, 04:44","9 Feb 2025, 06:11","","Deadlift (Barbell)",,"",4,"warmup",205,5,,,
